,Kolejka,season,home,away,date,hour,gh,ga,IsCancelled,IsWalkover
234,11,1928,Polonia Warszawa,1. FC Katowice,5/6/1928,16:30,1,3,0,0
235,12,1928,Warszawianka Warszawa,Wis≥a KrakÛw,5/13/1928,16:30,2,1,0,0
236,12,1928,PogoÒ LwÛw,Ruch ChorzÛw,5/13/1928,17:00,2,1,0,0
237,12,1928,Hasmonea LwÛw,TKS ToruÒ,5/13/1928,15:30,5,1,0,0
238,12,1928,£ÅKS £ÅÛdü,Warta PoznaÒ,5/13/1928,17:00,2,2,0,0
239,12,1928,1. FC Katowice,Klub TurystÛw £ÅÛdü,5/13/1928,17:00,2,1,0,0
240,12,1928,Cracovia,Legia Warszawa,5/13/1928,16:30,2,0,0,0
241,13,1928,Hasmonea LwÛw,ålπsk åwiÍtoch≥owice,5/17/1928,17:00,6,0,0,0
242,13,1928,Legia Warszawa,Czarni LwÛw,5/17/1928,17:00,0,1,1,0
243,13,1928,Wis≥a KrakÛw,Polonia Warszawa,5/17/1928,17:00,7,2,0,0
244,14,1928,Czarni LwÛw,Klub TurystÛw £ÅÛdü,5/20/1928,16:30,4,1,0,0
245,14,1928,Warta PoznaÒ,Cracovia,5/20/1928,16:30,3,0,0,0
246,14,1928,Wis≥a KrakÛw,1. FC Katowice,5/20/1928,17:00,3,2,0,0
247,14,1928,Legia Warszawa,TKS ToruÒ,5/20/1928,17:00,1,2,0,0
248,14,1928,£ÅKS £ÅÛdü,PogoÒ LwÛw,5/20/1928,17:00,1,5,0,0
249,15,1928,Ruch ChorzÛw,Warszawianka Warszawa,5/27/1928,17:00,4,1,0,0
250,15,1928,Klub TurystÛw £ÅÛdü,ålπsk åwiÍtoch≥owice,5/27/1928,17:00,2,1,0,0
251,16,1928,Warszawianka Warszawa,Czarni LwÛw,6/3/1928,17:00,3,3,0,0
252,16,1928,Klub TurystÛw £ÅÛdü,Hasmonea LwÛw,6/3/1928,16:00,3,2,0,0
253,16,1928,Ruch ChorzÛw,TKS ToruÒ,6/3/1928,17:00,2,1,0,0
254,16,1928,PogoÒ LwÛw,1. FC Katowice,6/3/1928,17:30,1,2,0,0
255,16,1928,Warta PoznaÒ,Polonia Warszawa,6/3/1928,17:00,4,1,0,0
256,16,1928,Cracovia,Wis≥a KrakÛw,6/3/1928,17:30,2,1,0,0
257,17,1928,Legia Warszawa,Warszawianka Warszawa,6/7/1928,17:30,4,2,0,0
258,17,1928,TKS ToruÒ,PogoÒ LwÛw,6/7/1928,17:30,3,4,0,0
259,17,1928,Hasmonea LwÛw,Czarni LwÛw,6/7/1928,17:00,1,3,0,0
260,18,1928,Ruch ChorzÛw,Legia Warszawa,6/10/1928,17:00,0,2,0,0
261,18,1928,Warta PoznaÒ,1. FC Katowice,6/10/1928,17:00,3,1,0,0
262,19,1928,Legia Warszawa,Czarni LwÛw,6/17/1928,10:00,1,2,0,0
263,19,1928,TKS ToruÒ,Warszawianka Warszawa,6/17/1928,17:30,2,5,0,0
